leg_id,first_name,last_name,chamber,party,district
OKL000148,Cory,Williams,lower,Democratic,34
OKL000173,Charles,McCall,lower,Republican,22
OKL000267,Michael,Rogers,lower,Republican,98
OKL000180,Johnny,Tadlock,lower,Democratic,1
OKL000254,Chad,Caldwell,lower,Republican,40
OKL000172,Mark,McBride,lower,Republican,53
OKL000193,Jeff,Coody,lower,Republican,63
OKL000197,James,Leewright,lower,Republican,29
OKL000186,Shane,Stone,lower,Democratic,89
OKL000167,Dan,Fisher,lower,Republican,60
OKL000200,George,Young,lower,Democratic,99
OKL000257,Chuck,Strohm,lower,Republican,69
OKL000179,Justin,Wood,lower,Republican,26
OKL000183,John,Pfeiffer,lower,Republican,38
OKL000065,Lee,Denney,lower,Republican,33
OKL000185,Chris,Kannady,lower,Republican,91
OKL000190,Mark,Lepak,lower,Republican,9
OKL000078,Jeffrey,Hickman,lower,Republican,58
OKL000261,Jason,Dunnington,lower,Democratic,88
OKL000187,Lisa,Billy,lower,Republican,42
OKL000203,Ben,Loring,lower,Democratic,7
OKL000071,George,Faught,lower,Republican,14
OKL000178,Ken,Walker,lower,Republican,70
OKL000165,Bobby,Cleveland,lower,Republican,20
OKL000164,Scott,Biggs,lower,Republican,51
OKL000191,Scooter,Park,lower,Republican,65
OKL000264,Claudia,Griffith,lower,Democratic,45
OKL000194,Casey,Murdock,lower,Republican,61
OKL000175,David,Perryman,lower,Democratic,56
OKL000195,Kevin,Wallace,lower,Republican,32
OKL000202,Travis,Dunlap,lower,Republican,10
OKL000253,John,Montgomery,lower,Republican,62
OKL000266,John Paul,Jordan,lower,Republican,43
OKL000189,Kevin,Calvey,lower,Republican,82
OKL000169,Katie,Henke,lower,Republican,71
OKL000096,Mark,McCullough,lower,Republican,30
OKL000166,Jon,Echols,lower,Republican,90
OKL000058,Mike,Christian,lower,Republican,93
OKL000116,R. C.,Pruett,lower,Democratic,19
OKL000066,David,Derby,lower,Republican,74
OKL000093,Scott,Martin,lower,Republican,46
OKL000051,John,Bennett,lower,Republican,2
OKL000064,David,Dank,lower,Republican,85
OKL000103,Richard,Morrissette,lower,Democratic,92
OKL000086,Charlie,Joyner,lower,Republican,95
OKL000074,Randy,Grau,lower,Republican,81
OKL000092,James,Lockhart,lower,Democratic,3
OKL000115,Eric,Proctor,lower,Democratic,77
OKL000056,Ed,Cannaday,lower,Democratic,15
OKL000123,Dustin,Roberts,lower,Republican,21
OKL000090,Steve,Kouplen,lower,Democratic,24
OKL000109,Charles,Ortega,lower,Republican,52
OKL000146,Weldon,Watson,lower,Republican,79
OKL000108,Jadine,Nollan,lower,Republican,66
OKL000132,Mike,Shelton,lower,Democratic,97
OKL000143,Steve,Vaughan,lower,Republican,37
OKL000125,Wade,Rousselot,lower,Democratic,12
OKL000118,Brian,Renegar,lower,Democratic,17
OKL000111,Pat,Ownbey,lower,Republican,48
OKL000121,Mike,Ritze,lower,Republican,80
OKL000098,Randy,McDaniel,lower,Republican,83
OKL000060,Donnie,Condit,lower,Democratic,18
OKL000104,Glen,Mulready,lower,Republican,68
OKL000105,Jason,Murphey,lower,Republican,31
OKL000087,Sally,Kern,lower,Republican,84
OKL000113,Pam,Peterson,lower,Republican,67
OKL000054,Mike,Brown,lower,Democratic,4
OKL000124,Sean,Roberts,lower,Republican,36
OKL000126,Todd,Russ,lower,Republican,55
OKL000057,Dennis,Casey,lower,Republican,35
OKL000100,Jerry,McPeak,lower,Democratic,13
OKL000106,Jason,Nelson,lower,Republican,87
OKL000133,Ben,Sherrer,lower,Democratic,8
OKL000077,Tommy,Hardin,lower,Republican,49
OKL000134,Jerry,Shoemake,lower,Democratic,16
OKL000149,Harold,Wright,lower,Republican,57
OKL000082,Scott,Inman,lower,Democratic,94
OKL000174,Terry,O'Donnell,lower,Republican,23
OKL000130,Earl,Sears,lower,Republican,11
OKL000061,Ann,Coody,lower,Republican,64
OKL000084,Dennis,Johnson,lower,Republican,50
OKL000097,Jeannie,McDaniel,lower,Democratic,78
OKL000110,Leslie,Osborn,lower,Republican,47
OKL000127,Mike,Sanders,lower,Republican,59
OKL000147,Paul,Wesselhoft,lower,Republican,54
OKL000055,David,Brumbaugh,lower,Republican,76
OKL000062,Marian,Cooksey,lower,Republican,39
OKL000129,Seneca,Scott,lower,Democratic,72
OKL000140,Todd,Thomsen,lower,Republican,25
OKL000075,Elise,Hall,lower,Republican,100
OKL000063,Doug,Cox,lower,Republican,5
OKL000072,William,Fourkiller,lower,Democratic,86
OKL000089,Dan,Kirby,lower,Republican,75
OKL000107,Tom,Newell,lower,Republican,28
OKL000069,John,Enns,lower,Republican,41
OKL000059,Josh,Cockroft,lower,Republican,27
OKL000144,Emily,Virgin,lower,Democratic,44
OKL000081,Chuck,Hoskin,lower,Democratic,6
OKL000101,Lewis,Moore,lower,Republican,96
OKL000171,Kevin,Matthews,upper,Democratic,11
OKL000262,Jack,Fry,upper,Republican,42
OKL000008,Brian,Bingman,upper,Republican,12
OKL000181,Ervin,Yen,upper,Republican,40
OKL000040,Mike,Schulz,upper,Republican,38
OKL000159,Kyle,Loveless,upper,Republican,45
OKL000158,Nathan,Dahm,upper,Republican,33
OKL000161,Wayne,Shaw,upper,Republican,3
OKL000196,Stephanie,Bice,upper,Republican,22
OKL000160,Ron,Sharp,upper,Republican,17
OKL000156,Larry,Boggs,upper,Republican,7
OKL000258,Roger,Thompson,upper,Republican,8
OKL000199,Darcy,Jech,upper,Republican,26
OKL000157,Corey,Brooks,upper,Republican,43
OKL000255,Joseph,Silk,upper,Republican,5
OKL000163,Rob,Standridge,upper,Republican,15
OKL000176,Jason,Smalley,upper,Republican,28
OKL000020,John,Ford,upper,Republican,29
OKL000004,Patrick,Anderson,upper,Republican,19
OKL000023,David,Holt,upper,Republican,30
OKL000041,Ralph,Shortey,upper,Republican,44
OKL000010,Josh,Brecheen,upper,Republican,6
OKL000022,Jim,Halligan,upper,Republican,21
OKL000042,Frank,Simpson,upper,Republican,14
OKL000006,Don,Barrington,upper,Republican,31
OKL000027,Clark,Jolley,upper,Republican,41
OKL000048,Charles,Wyrick,upper,Democratic,1
OKL000012,Bill,Brown,upper,Republican,36
OKL000019,Eddie,Fields,upper,Republican,10
OKL000034,Dan,Newberry,upper,Republican,37
OKL000016,Kim,David,upper,Republican,18
OKL000028,Ron,Justice,upper,Republican,23
OKL000003,Mark,Allen,upper,Republican,4
OKL000021,Earl,Garrison,upper,Democratic,9
OKL000045,Anthony,Sykes,upper,Republican,24
OKL000031,Bryce,Marlatt,upper,Republican,27
OKL000155,AJ,Griffin,upper,Republican,20
OKL000007,Randy,Bass,upper,Democratic,32
OKL000011,Rick,Brinkley,upper,Republican,34
OKL000015,Brian,Crain,upper,Republican,39
OKL000043,John,Sparks,upper,Democratic,16
OKL000046,Greg,Treat,upper,Republican,47
OKL000032,Mike,Mazzei,upper,Republican,25
OKL000036,Susan,Paddack,upper,Democratic,13
OKL000044,Gary,Stanislawski,upper,Republican,35
OKL000114,Anastasia,Pittman,upper,Democratic,48
OKL000168,Kay,Floyd,upper,Democratic,46
OKL000117,Marty,Quinn,upper,Republican,2
